name,href,year
8005 Presidentielle ELABE NOTICE PUBLIABLE,/notices/medias/fichiers/add/18,2016
8009 pres TPE Ifop fiducial 12-05,/notices/medias/fichiers/add/26,2016
8008 pres ifop Sud radio 12-05,/notices/medias/fichiers/add/25,2016
8006 Prim D Odoxa-Le Parisien-BFM 3-05,/notices/medias/fichiers/add/21,2016
8007 Pres Ifop Anacej 4-05,/notices/medias/fichiers/add/24,2016
8010 pres BVA PQR 20-05,/notices/medias/fichiers/add/28,2016
8011 Prim ifop Paris Match 24 mai,/notices/medias/fichiers/add/29,2016
8012 Prim D OW Marianne 27 mai,/notices/medias/fichiers/add/30,2016
8013 Pres IPSOS CEVIPOF V4,/notices/medias/fichiers/add/31,2016
8014 Pres Débélect TNS TF1 12 juin pub,/notices/medias/fichiers/add/32,2016
8016 Prim G TNS 17 Juin 2016,/notices/medias/fichiers/add/34,2016
8017 Baro Pol Viavoice Libé 21 juin 2016 ,/notices/medias/fichiers/add/35,2016
8018 Pres ifop PM 21 juin,/notices/medias/fichiers/add/37,2016
8019 prim G elabe bfm 21 juin,/notices/medias/fichiers/add/36,2016
8020 Prim D Elabe Atlantico 22 Juin,/notices/medias/fichiers/add/38,2016
8021 Pres Elabe Les échos 22-06,/notices/medias/fichiers/add/39,2016
8022 Prim D Odoxa Le parisien 26 juin 2016,/notices/medias/fichiers/add/41,2016
8023 Prim D – ELABE_LOPINION_NOTICE 30_06,/notices/medias/fichiers/add/42,2016
8015 Notice publiable Prim G TNS 17 Juin,/notices/medias/fichiers/add/33,2016
8024 Viavoice Libération,/notices/medias/fichiers/add/43,2016
8025 PrimD TNS  le figaro,/notices/medias/fichiers/add/44,2016
8026 Primaire D Ipsos le monde V5,/notices/medias/fichiers/add/45,2016
8027 Pres HI Marianne 08:07,/notices/medias/fichiers/add/47,2016
8028 Pres E Macron Elabe BMFTV,/notices/medias/fichiers/add/49,2016
8029 Pres BVA-PQR ,/notices/medias/fichiers/add/50,2016
8039 Macron Elabe BFM,/notices/medias/fichiers/add/59,2016
8038 Monarchie BVA,/notices/medias/fichiers/add/58,2016
8037 prim D Tns ,/notices/medias/fichiers/add/56,2016
8036 Baro Viavoice,/notices/medias/fichiers/add/57,2016
8035 Prim Odoxa,/notices/medias/fichiers/add/61,2016
8034 Agric BVA TerreNet,/notices/medias/fichiers/add/54,2016
8033 PrimG Ipsos,/notices/medias/fichiers/add/53,2016
8032 Montebourg BVA l'obs,/notices/medias/fichiers/add/52,2016
8031 Primd elabe Bfm,/notices/medias/fichiers/add/51,2016
8030 Pres Ifop Atlantico,/notices/medias/fichiers/add/48,2016
8040 prims Ifop JDD,/notices/medias/fichiers/add/62,2016
8041 Macron Odoxa,/notices/medias/fichiers/add/64,2016
8042 Primd Baro Ifop,/notices/medias/fichiers/add/65,2016
8043 Pres TNS Sofres- sept 2016 (vague 3),/notices/medias/fichiers/add/66,2016
8044 Hollande Elabe BFMtv,/notices/medias/fichiers/add/67,2016
8045 MLP TNS TF1,/notices/medias/fichiers/add/68,2016
8046 Pres4 BVA PQR,/notices/medias/fichiers/add/69,2016
8047 PrimD Elabe BFMtv ,/notices/medias/fichiers/add/70,2016
8048 Primd  HI France2,/notices/medias/fichiers/add/71,2016
8049 PrimG Odoxa France2 18-09,/notices/medias/fichiers/add/72,2016
8050 primG Montebourg Hi Franc 2,/notices/medias/fichiers/add/74,2016
"8051 Pres Elabe, les Échos",/notices/medias/fichiers/add/75,2016
8052 Prim D Bva Orange,/notices/medias/fichiers/add/76,2016
8053 Prims Ipsos Cévipof 26_09,/notices/medias/fichiers/add/79,2016
8054 PrimD Ifop PM,/notices/medias/fichiers/add/80,2016
8055 PrimD TNS le Figaro,/notices/medias/fichiers/add/81,2016
8056 Prim G Elabe BFM 28:09,/notices/medias/fichiers/add/82,2016
8057 primG BVA PQR,/notices/medias/fichiers/add/83,2016
